,score,regime,spread_bp,chg13w,net_liq_bn
2026-07-14,60.00000000000001,AMPLE,-2.0000000000000018,16.079999999999927,5961.269
2026-07-15,56.49999999999994,BAL,-0.9999999999999787,32.54000000000087,5986.659000000001
2026-07-16,61.49999999999995,AMPLE,-2.9999999999999805,32.50100000000111,5986.685
2026-07-17,69.00000000000001,AMPLE,-6.000000000000005,32.50500000000011,5986.71
2026-07-20,74.00000000000001,AMPLE,-8.000000000000007,32.94100000000071,5986.780000000001
2026-07-21,64.0,AMPLE,-4.0000000000000036,33.00000000000091,5986.535000000001
2026-07-22,58.49999999999995,BAL,-2.9999999999999805,216.46599999999853,5917.378999999999
2026-07-23,53.49999999999994,BAL,-0.9999999999999787,215.5139999999983,5916.850999999999
2026-07-24,53.49999999999994,BAL,-0.9999999999999787,215.71099999999933,5917.079999999999
2026-07-27,53.49999999999994,BAL,-0.9999999999999787,215.28699999999935,5916.374999999999
2026-07-28,51.0,BAL,0.0,215.820999999999,5916.628999999999
2026-07-29,51.0,BAL,0.0,107.5640000000003,5824.838
2026-07-30,51.0,BAL,0.0,116.57800000000043,5826.338
2026-07-31,48.49999999999994,BAL,1.000000000000023,107.84900000000016,5825.263
2026-08-03,51.0,BAL,0.0,107.88400000000001,5825.286999999999
2026-08-04,48.49999999999994,BAL,1.000000000000023,108.26400000000012,5825.163
2026-08-05,52.49999999999994,BAL,-0.9999999999999787,9.481999999999971,5839.593000000001
2026-08-06,50.0,BAL,0.0,8.842999999999847,5839.814
2026-08-07,57.49999999999995,BAL,-2.9999999999999805,8.83600000000024,5839.793000000001
2026-08-10,55.00000000000001,BAL,-2.0000000000000018,9.656999999999243,5840.268
2026-08-11,52.49999999999994,BAL,-0.9999999999999787,9.44799999999941,5839.993
2026-08-12,52.49999999999995,BAL,-2.9999999999999805,-90.91900000000078,5795.28
2026-08-13,52.49999999999995,BAL,-2.9999999999999805,-92.32900000000063,5795.555
2026-08-14,52.49999999999995,BAL,-2.9999999999999805,-93.51600000000053,5795.755
2026-08-17,42.49999999999994,TIGHT,1.000000000000023,-86.97500000000036,5795.75
2026-08-18,45.0,BAL,0.0,-81.15700000000015,5795.85
2026-08-19,51.49999999999995,BAL,-2.9999999999999805,-115.71300000000065,5791.7699999999995
2026-08-20,49.00000000000001,BAL,-2.0000000000000018,-137.20700000000124,5791.861999999999
2026-08-21,44.0,TIGHT,0.0,-139.4980000000005,5791.887
2026-08-24,44.0,TIGHT,0.0,-139.6780000000008,5791.706999999999
2026-08-25,41.49999999999994,TIGHT,1.000000000000023,-138.8810000000003,5791.682
2026-08-26,52.49999999999994,BAL,-0.9999999999999787,-92.75999999999931,5779.474
2026-08-27,52.49999999999994,BAL,-0.9999999999999787,-93.20399999999972,5779.72
2026-08-28,52.49999999999994,BAL,-0.9999999999999787,-82.40899999999965,5780.001
2026-08-31,52.49999999999994,BAL,-0.9999999999999787,-92.78399999999965,5780.001
